Country Name,2011,2012,2013,2014,2015,2016,2017
Afghanistan,61.553,62.054,62.525,62.966,63.377,63.763,64.13
Albania,76.914,77.252,77.554,77.813,78.025,78.194,78.333
Algeria,75.199,75.436,75.661,75.878,76.09,76.298,76.499
Angola,56.33,57.236,58.054,58.776,59.398,59.925,60.379
Antigua and Barbuda,75.956,76.087,76.218,76.349,76.483,76.617,76.752
Argentina,75.439,75.598,75.756,75.913,76.068,76.221,76.372
Armenia,73.572,73.82,74.056,74.273,74.467,74.64,74.797
Aruba,75.158,75.299,75.441,75.583,75.725,75.868,76.01
Australia,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5
Austria,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64390244
Azerbaijan,71.234,71.506,71.768,72.022,72.266,72.493,72.693
"Bahamas, The",72.263,72.424,72.62,72.847,73.088,73.329,73.554
Bahrain,76.2,76.342,76.484,76.624,76.762,76.899,77.032
Bangladesh,70.256,70.606,70.93,71.231,71.514,71.785,72.052
Barbados,78.456,78.547,78.633,78.717,78.801,78.888,78.981
Belarus,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024,73.82682927,74.12926829
Belgium,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.49268293
Belize,72.57,73.044,73.452,73.782,74.034,74.219,74.365
Benin,59.59,59.842,60.092,60.345,60.608,60.885,61.174
Bermuda,81.15268293,81.67780488,80.57243902,80.79731707,81.01219512,81.22707317,81.44195122
Bhutan,68.84,69.263,69.662,70.046,70.419,70.781,71.129
Bolivia,68.521,69.01,69.468,69.891,70.277,70.626,70.945
Bosnia and Herzegovina,76.219,76.401,76.569,76.723,76.865,76.998,77.128
Botswana,61.91,63.511,64.976,66.265,67.338,68.178,68.812
Brazil,73.921,74.209,74.483,74.745,74.994,75.23,75.456
Brunei Darussalam,74.852,74.962,75.075,75.193,75.318,75.45,75.585
Bulgaria,74.16341463,74.31463415,74.86097561,74.46585366,74.61463415,74.81219512,74.81463415
Burkina Faso,57.761,58.374,58.937,59.45,59.919,60.354,60.768
Burundi,57.925,58.568,59.148,59.665,60.123,60.528,60.898
Cabo Verde,71.243,71.445,71.661,71.886,72.117,72.347,72.57
