,Country name,Average yearly temperature (° C),
1,Aruba,25.35,
2,Andorra,7.6,
3,Afghanistan,12.6,
4,Angola,21.55,
5,Albania,11.4,
6,United Arab Emirates,27,
7,Argentina,14.8,
8,Armenia,7.15,
9,American Samoa,24.4,
10,Antigua and Barbuda,26,
11,Australia,21.65,
12,Austria,6.35,
13,Azerbaijan,11.95,
14,Burundi,19.8,
15,Belgium,9.55,
16,Benin,27.55,
17,Burkina Faso,28.25,
18,Bangladesh,25,
19,Bulgaria,10.55,
20,Bahrain,27.15,
21,"Bahamas, The",24.85,
22,Bosnia and Herzegovina,9.85,
23,Belarus,6.15,
24,Belize,25.3,
25,Bermuda,21.3,
26,Bolivia,21.55,
27,Brazil,24.95,
28,Barbados,26,
29,Brunei Darussalam,26.85,
30,Bhutan,7.4,
31,Botswana,21.5,
32,Central African Republic,24.9,
33,Canada,-5.35,
34,Switzerland,5.5,
35,Chile,8.45,
36,China,6.95,
37,Cote d'Ivoire,26.35,
38,Cameroon,24.6,
39,"Congo, Rep.",24.55,
40,Colombia,24.5,
41,Comoros,25.55,
42,Cape Verde,23.3,
43,Costa Rica,24.8,
44,Cuba,25.2,
45,Curacao,25.35,
46,Cayman Islands,25.2,
47,Cyprus,18.45,
48,Czech Republic,7.55,
49,Germany,8.5,
50,Djibouti,28,
51,Dominica,22.35,
52,Denmark,7.5,
53,Dominican Republic,24.55,
54,Algeria,22.5,
55,Ecuador,21.85,
56,"Egypt, Arab Rep.",22.1,
57,Eritrea,25.5,
58,Spain,13.3,
59,Estonia,5.1,
60,Ethiopia,22.2,
61,Finland,1.7,
62,Fiji,24.4,
63,France,10.7,
64,Faeroe Islands,6.1,
65,"Micronesia, Fed. Sts.",25.85,
66,Gabon,25.05,
67,United Kingdom,8.45,
68,Georgia,5.8,
69,Ghana,27.2,
70,Guinea,25.7,
71,"Gambia, The",27.5,
72,Guinea-Bissau,26.75,
73,Equatorial Guinea,24.55,
74,Greece,15.4,
75,Grenada,26.65,
76,Greenland,-16.05,
77,Guatemala,23.45,
78,Guam,25.85,
79,Guyana,26,
80,"Hong Kong SAR, China",22.65,
81,Honduras,23.5,
82,Croatia,10.9,
83,Haiti,24.9,
84,Hungary,9.75,
85,Indonesia,25.85,
86,Isle of Man,8.45,
87,India,23.65,
88,Ireland,9.3,
89,"Iran, Islamic Rep.",17.25,
90,Iraq,21.4,
91,Iceland,1.75,
92,Israel,19.2,
93,Italy,13.45,
94,Jamaica,24.95,
95,Jordan,18.3,
96,Japan,11.15,
97,Kazakhstan,6.4,
98,Kenya,24.75,
99,Kyrgyz Republic,1.55,
100,Cambodia,26.8,
101,Kiribati,28.2,
102,St. Kitts and Nevis,24.5,
103,"Korea, Rep.",11.5,
104,Kuwait,25.35,
105,Lao PDR,22.8,
106,Lebanon,16.4,
107,Liberia,25.3,
108,Libya,21.8,
109,St. Lucia,25.5,
110,Liechtenstein,5.65,
111,Sri Lanka,26.95,
112,Lesotho,11.85,
113,Lithuania,6.2,
114,Luxembourg,8.65,
115,Latvia,5.6,
116,"Macao SAR, China",22.8,
117,St. Martin (French part),25.25,
118,Morocco,17.1,
119,Monaco,13.55,
120,Moldova,9.45,
121,Madagascar,22.65,
122,Maldives,27.65,
123,Mexico,21,
124,Marshall Islands,27.4,
125,"Macedonia, FYR",9.8,
126,Mali,28.25,
127,Malta,19.2,
128,Myanmar,13.05,
129,Montenegro,10.55,
130,Mongolia,-0.7,
131,Northern Mariana Islands,27.35,
132,Mozambique,23.8,
133,Mauritania,27.65,
134,Mauritius,22.4,
135,Malawi,21.9,
136,Malaysia,25.4,
137,Namibia,19.95,
138,New Caledonia,22.15,
139,Niger,27.15,
140,Nigeria,26.8,
141,Nicaragua,24.9,
142,Netherlands,9.25,
143,Norway,1.5,
144,Nepal,8.1,
145,New Zealand,10.55,
146,Oman,25.6,
147,Pakistan,20.2,
148,Panama,25.4,
149,Peru,19.6,
150,Philippines,25.85,
151,Palau,27.6,
152,Papua New Guinea,25.25,
153,Poland,7.85,
154,Puerto Rico,25.25,
155,"Korea, Dem. Rep.",5.7,
156,Portugal,15.15,
157,Paraguay,23.55,
158,French Polynesia,24.4,
159,Qatar,27.15,
160,Romania,8.8,
161,Russian Federation,-5.1,
162,Rwanda,17.85,
163,Saudi Arabia,24.65,
164,Sudan,26.9,
165,Senegal,27.85,
166,Singapore,26.45,
167,Solomon Islands,25.65,
168,Sierra Leone,26.05,
169,El Salvador,24.45,
170,San Marino,11.85,
171,Somalia,27.05,
172,Serbia,10.55,
173,Sao Tome and Principe,23.75,
174,Suriname,25.7,
175,Slovak Republic,6.8,
176,Slovenia,8.9,
177,Sweden,2.1,
178,Swaziland,21.4,
179,Sint Maarten (Dutch part),25.25,
180,Seychelles,27.15,
181,Syrian Arab Republic,17.75,
182,Turks and Caicos Islands,28,
183,Chad,26.55,
184,Togo,27.15,
185,Thailand,26.3,
186,Tajikistan,2,
187,Turkmenistan,15.1,
188,Timor-Leste,25.25,
189,Tonga,25.25,
190,Trinidad and Tobago,25.75,
191,Tunisia,19.2,
192,Turkey,11.1,
193,Tuvalu,28,
194,Tanzania,22.35,
195,Uganda,22.8,
196,Ukraine,8.3,
197,Uruguay,17.55,
198,United States,8.55,
199,Uzbekistan,12.05,
200,St. Vincent and the Grenadines,26.8,
201,"Venezuela, RB",25.35,
202,Virgin Islands (U.S.),25.6,
203,Vietnam,24.45,
204,Vanuatu,23.95,
205,West Bank and Gaza,19.2,
206,Samoa,26.7,
207,"Yemen, Rep.",23.85,
208,South Africa,17.75,
209,"Congo, Dem. Rep.",24,
210,Zambia,21.4,
211,Zimbabwe,21,
